Series Name,Series Code,Country Name,Country Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Poland,POL,-7.0279473310229,-2.30300903469373,-3.0056919876808,-4.54136329910865,..
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Angola,AGO,-3.51554820703032,1.33347600868841,1.74000837806902,-2.46468549298752,-1.3269424299549
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Argentina,ARG,-8.69549195205583,-4.37239542525685,-4.4270873191738,-3.59487367608309,..
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Azerbaijan,AZE,-5.26445167343868,4.8140053131223,10.9992276560822,5.79513465618005,..
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Botswana,BWA,-9.61574598561133,-0.0911836669368312,0.040986931231836,0.0390341092345532,-4.23762574073993
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Brazil,BRA,-12.4363388248864,-4.53656203189497,-4.46637752012501,-6.86868984767067,-5.69048407158804
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Bulgaria,BGR,-4.07343578123514,-4.02052146509548,-3.14711301963383,-1.8899793377729,..
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Burkina Faso,BFA,-5.20571825644987,-7.56798249695863,-11.0424403025089,-6.82039505428855,..
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Cambodia,KHM,-2.76165534759066,-5.16502013090928,-0.366650655844595,-3.32743423908292,..
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Chile,CHL,-7.21904641347043,-7.7231232384713,1.13200004000061,-2.39074850018473,..
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Costa Rica,CRI,-5.35227499390424,-2.77815643386778,-0.0522988947814059,0.439026284102866,..
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Cote d'Ivoire,CIV,-5.85448737594048,-5.44868638404588,-7.17873716059206,-5.41192193440121,..
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Denmark,DNK,0.0817074835691645,3.89047649052018,3.33867888103347,3.14624122404317,..
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Dominican Republic,DOM,-8.3098749621678,-2.46543421506128,-3.1776265344522,-3.38217585149103,-2.89357415366207
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,El Salvador,SLV,-10.1231120985796,-2.89913556178843,-2.727005734525,-2.81757812236921,-2.03054096484204
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Georgia,GEO,-8.27351423005081,-5.89305711086226,-2.52017567938512,-2.01649890003694,-2.14131507022351
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Guatemala,GTM,-4.35589779021995,-1.14900209809302,-1.70787872678475,-1.25751927993897,..
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Iceland,ISL,-7.88030025636416,-7.08057458126445,-2.55233129678637,-1.07771082527326,..
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Jordan,JOR,-7.03348976345713,-5.26503751900911,-4.48515275513556,-5.12835807171994,..
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Kazakhstan,KAZ,-6.67841861281125,-4.43154397559644,0.908082609565766,-1.14466383676501,..
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,"Korea, Rep.",KOR,-1.92144767573337,-0.723170898823262,-1.74784573119289,-1.01976823601103,..
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Malaysia,MYS,-6.12655242949244,-6.37634853380791,-5.52925395881785,-4.99879793435299,..
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Mauritius,MUS,-8.10245354225858,-12.3942651708396,-5.51265408315371,-5.79767403180484,-8.09933884004292
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Mexico,MEX,-3.63899768686235,-3.32386358596923,-4.30934820885304,-4.18573429071407,..
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Moldova,MDA,-5.48565459617566,-1.93536291053598,-3.13255881003466,-5.0236524937942,..
